ID,Frame,x1,y1,x2,y2,Confidence
1140.4806,950.8048,1244.5162,1079.9476,0.8487541,0,1
666.0006,648.06476,745.401,853.6941,0.81353354,0,2
1140.331,505.3938,1210.63,656.7493,0.7978104,0,3
1412.9445,702.3801,1522.9784,887.1321,0.7766334,0,4
33.74025,794.47046,141.50749,989.4159,0.7759961,0,5
260.4866,437.63837,331.67453,611.7149,0.77325207,0,6
1446.2255,318.0065,1515.58,483.04422,0.77282035,0,7
1461.7712,471.6486,1542.6885,642.7293,0.7667167,0,8
752.7836,451.08032,820.7308,623.237,0.74384636,0,9
924.0507,172.34122,983.37396,307.01147,0.7279825,0,10
1791.4069,144.2222,1851.4757,274.4212,0.7182095,0,11
200.28352,44.05806,266.75818,161.01709,0.67867017,0,12
93.36349,131.70076,145.78831,251.41727,0.675926,0,13
707.97205,239.89307,765.2579,387.6647,0.6597358,0,14
1203.4775,131.0754,1255.1345,266.2836,0.6289175,0,15
568.7408,267.343,627.9547,407.68427,0.6221015,0,16
1689.932,151.95631,1749.0531,283.23392,0.5655884,0,17
1163.1105,150.21783,1209.895,280.12357,0.5610488,0,18
798.94867,78.1807,847.1728,204.18489,0.558626,0,19
343.88535,495.2148,395.91367,641.27264,0.52812105,0,20
351.4193,6.608963,405.3001,140.70567,0.46311614,0,21
1722.1058,77.295044,1782.1549,178.70091,0.45060292,0,22
1672.257,12.56357,1725.6208,135.31647,0.43170884,0,23
1613.577,17.115211,1654.4388,127.60883,0.42432097,0,24
893.8257,90.106705,931.7732,211.30174,0.3974208,0,25
855.3789,72.76277,894.2632,194.98203,0.38755196,0,26
1580.1538,19.29368,1622.3867,122.00354,0.37383342,0,27
983.2361,101.48314,1036.4176,234.15578,0.37197977,0,28
387.53082,517.21716,456.53705,671.25134,0.35318065,0,29
569.1321,202.6544,618.3644,295.17694,0.35068163,0,30
1387.8885,49.05936,1425.3618,185.66432,0.3357072,0,31
1091.024,46.36068,1132.3341,146.42351,0.28012028,0,32
1897.5875,100.11388,1919.2621,196.23978,0.2776699,0,33
